,ID,longitude,latitude,ST,TS,TS_PCODE
1076,1077,98.10003662,24.0412693,Shan (North),Muse,MMR015009
1077,1078,97.10603333,20.78290939,Shan (South),Taunggyi,MMR014001
1078,1079,97.73352051,25.82665443,Kachin,Injangyang,MMR001003
1079,1080,97.86193848,23.90567017,Shan (North),Namhkan,MMR015010
1080,1081,97.16035461,23.23892784,Shan (North),Manton,MMR015019
1081,1082,97.03182220000001,22.54350853,Shan (North),Kyaukme,MMR015012
1082,1083,97.63010406,24.92972755,Kachin,Waingmaw,MMR001002
1083,1084,97.18869019,21.18488312,Shan (South),Hopong,MMR014003
1084,1085,97.15135956,22.63630676,Shan (North),Hsipaw,MMR015014
1085,1086,97.16165924,22.64201164,Shan (North),Hsipaw,MMR015014
1086,1087,97.1671524,22.64898109,Shan (North),Hsipaw,MMR015014
1087,1088,97.92932129,23.45748329,Shan (North),Kutkai,MMR015011
1088,1089,97.50508118,25.28088951,Kachin,Waingmaw,MMR001002
1089,1090,97.38556671,23.0564003,Shan (North),Namtu,MMR015015
1090,1091,97.39411163,23.05774307,Shan (North),Namtu,MMR015015
1091,1092,97.13834381,23.24791718,Shan (North),Manton,MMR015019
1092,1093,97.38621521,23.06011391,Shan (North),Namtu,MMR015015
1093,1094,97.18317413,22.94379807,Shan (North),Namhsan,MMR015016
1094,1095,97.17279053,22.95802498,Shan (North),Namhsan,MMR015016
1095,1096,98.21906281,14.22048378,Tanintharyi,Yebyu,MMR006004
1096,1097,97.44815063,23.29554176,Shan (North),Manton,MMR015019
1097,1098,97.21744537,22.59265137,Shan (North),Hsipaw,MMR015014
1098,1099,97.52307129,23.16502571,Shan (North),Namtu,MMR015015
1099,1100,97.12113190000001,23.25225449,Shan (North),Manton,MMR015019
1100,1101,98.20352936,14.24527645,Tanintharyi,Yebyu,MMR006004
1101,1102,96.70961761,22.86220932,Shan (North),Kyaukme,MMR015012
1102,1103,96.70816040000001,22.81324577,Shan (North),Kyaukme,MMR015012
1103,1104,96.9744873,22.73046494,Shan (North),Kyaukme,MMR015012
1104,1105,97.00067139,22.79536438,Shan (North),Kyaukme,MMR015012
1105,1106,96.83638763,22.87257004,Shan (North),Kyaukme,MMR015012
1106,1107,97.86289215,23.41527367,Shan (North),Kutkai,MMR015011
1107,1108,97.15407562,22.90711975,Shan (North),Namhsan,MMR015016
1108,1109,97.12113190000001,23.25225449,Shan (North),Manton,MMR015019
1109,1110,97.12113190000001,23.25225449,Shan (North),Manton,MMR015019
1110,1111,97.16017151,22.96766663,Shan (North),Namhsan,MMR015016
1111,1112,97.2696991,23.09201431,Shan (North),Namtu,MMR015015
1112,1113,97.82357788,23.40204048,Shan (North),Kutkai,MMR015011
1113,1114,97.14872742,22.79536438,Shan (North),Namhsan,MMR015016
1114,1115,97.16017151,22.96766663,Shan (North),Namhsan,MMR015016
1115,1116,97.81639862,17.12296104,Kayin,Hlaingbwe,MMR003002
1116,1117,97.47416687,23.43047333,Shan (North),Manton,MMR015019
1117,1118,97.92932129,23.45748329,Shan (North),Kutkai,MMR015011
1118,1119,97.50156403,25.21521378,Kachin,Waingmaw,MMR001002
1119,1120,97.93635559,23.84468651,Shan (North),Muse,MMR015009
1120,1121,98.08027649,14.21748924,Shan (North),Namhsan,MMR015016
1121,1122,97.16017151,22.96766663,Shan (North),Namhsan,MMR015016
1122,1123,97.11090851,23.0685463,Shan (North),Namhsan,MMR015016
1123,1124,97.10687256,23.06775665,Shan (North),Namhsan,MMR015016
1124,1125,97.12248993,23.046512600000003,Shan (North),Namhsan,MMR015016
1125,1126,96.94608307,22.75065041,Shan (North),Kyaukme,MMR015012
