,ID,longitude,latitude,ST,TS,TS_PCODE
154,155,97.68261719,23.82051086,Shan (North),Namhkan,MMR015010
155,156,97.30152893,24.11615944,Kachin,Mansi,MMR001013
156,157,97.07287598,22.5632782,Shan (North),Kyaukme,MMR015012
157,158,97.45739746,18.09362984,Kayin,Hpapun,MMR003003
158,159,97.07836914,22.56835175,Shan (North),Kyaukme,MMR015012
159,160,96.71582031,25.51665115,Kachin,Hpakant,MMR001009
160,161,92.36763763,20.81579971,Rakhine,Maungdaw,MMR012009
161,162,97.01622772,22.53543854,Shan (North),Kyaukme,MMR015012
162,163,96.13122559,17.04192924,Yangon,Mingaladon,MMR013002
163,164,97.15252686,22.96419525,Shan (North),Namhsan,MMR015016
164,165,97.3056488,24.11553192,Kachin,Mansi,MMR001013
165,166,97.29260254,24.11553192,Kachin,Mansi,MMR001013
166,167,97.35302734,24.24669838,Kachin,Momauk,MMR001012
167,168,97.34066772,24.24860954,Kachin,Momauk,MMR001012
168,169,96.80096436,22.33126068,Shan (North),Nawnghkio,MMR015013
169,170,96.63891602,22.79110718,Shan (North),Kyaukme,MMR015012
170,171,96.68835449,23.10902405,Shan (North),Mongmit,MMR015017
171,172,97.30702209,24.11553192,Kachin,Mansi,MMR001013
172,173,97.16386414,22.96477127,Shan (North),Namhsan,MMR015016
173,174,97.09175873,23.20353317,Shan (North),Manton,MMR015019
174,175,96.82292938,22.32871628,Shan (North),Nawnghkio,MMR015013
175,176,97.31868744,24.11440086,Kachin,Mansi,MMR001013
176,177,97.15527344,23.17165947,Shan (North),Manton,MMR015019
177,178,97.17415619,22.96490669,Shan (North),Namhsan,MMR015016
