ID;longitude;latitude;
1;95.85458374;17.49751091;
2;98.13385773;22.03619957;
3;99.28331757;20.38167953;
4;98.13385773;22.03619957;
5;98.40000153;22.48333359;
6;97.60248566;23.71450424;
7;96.36873627;24.76786041;
8;96.53874207;23.64952087;
9;96.57833862;25.70396233;
10;96.34822845;25.62073708;
11;97.73442841;23.98334885;
12;97.69360352;23.84964943;
13;97.94341278;23.45920944;
14;97.74629211;23.86095428;
15;96.44761658;24.76654625;
16;97.90472412;23.97916794;
17;98.2468338;24.04632378;
18;97.65901184;23.86497688;
19;97.68167114;23.83600998;
20;97.18333435;20.78333282;
21;98.13385773;22.03619957;
22;97.17034912;22.96895981;
23;97.74622345;22.94271088;
24;96.77099609;18.32813644;
25;97.19509888;23.3746376;
26;97.37761688;23.54200363;
27;98.05448151;24.06186295;
28;97.17034912;22.96895981;
29;98.05615234;22.63326073;
30;98.02187347;24.03526115;
31;98.20017242;24.07733917;
32;97.61601257;23.47481728;
33;97.15287018;23.02168083;
34;98.13683319;23.49024582;
35;97.94113922;23.96201515;
36;97.46632385;23.93714905;
37;97.87788391;23.47631264;
38;97.78904724;21.9412117;
39;97.75952148;23.50252533;
40;97.72793579;23.58184242;
41;98.09692383;22.53193855;
42;97.6991806;23.84007263;
43;98.06331635;24.05884361;
44;93.14912415;20.22225189;
45;94.36183167;18.4627533;
46;96.80405426;22.37634659;
47;98.43097687;21.90808868;
48;98.39723969;21.90597725;
49;99.51888275;11.85281563;
50;96.07273102;21.97046661;
51;98.10765076;24.0542984;
52;97.37482452;22.92637825;
53;97.12094116;23.25021553;
54;96.94005585;22.58145905;
55;97.8714447;23.48898697;
56;97.78973389;23.50252533;
57;98.26274872;24.04614639;
58;96.98549652;22.77669334;
59;97.65910339;16.88824654;
60;97.41207886;18.34955215;
61;98.27553558;26.1830883;
62;98.15640259;25.94129562;
63;98.36276245;20.30536652;
64;97.61772919;23.80128479;
65;95.5173645;23.1920433;
66;96.96781921;22.62311935;
67;98.28720856;25.93975067;
68;97.60356903;27.30665207;
69;97.62373352;27.30093193;
70;97.53361511;27.49509621;
71;96.93177032;22.67341995;
72;98.21511078;24.07741737;
73;;;
74;97.19647217;22.53689384;
75;97.31559753;24.17849541;
76;97.77426147;23.59568596;
77;97.94989777;17.23041153;
78;96.98260498;22.70077896;
79;97.81445313;23.66110992;
80;97.38392639;23.02689362;
81;97.28710938;23.17215919;
82;97.76115417;20.2035656;
83;97.90509033;23.97017288;
84;97.33843231;23.15874481;
85;97.39697266;23.11912346;
86;97.93804932;23.46221924;
87;94.36595154;18.45685005;
88;94.37023926;18.45446205;
89;97.21466827;23.0103035;
90;98.01133728;19.77647018;
91;95.17773438;17.09641266;
92;98.37050629;21.28465271;
93;97.18166351;23.02306175;
94;98.43051147;21.28641129;
95;96.43933105;18.93543053;
96;98.43051147;21.30688477;
97;96.12078857;16.89024544;
98;96.19986725;16.78946495;
99;96.15857697;16.77911949;
100;97.88037109;23.46349144;
101;95.96417236;21.87989426;
102;95.96325684;21.87150955;
103;97.68536377;23.81784058;
104;97.68353271;23.82609749;
105;97.29737854;24.11559486;
106;97.93351746;23.44788933;
107;97.30115509;24.11521339;
108;97.98062134;19.7598381;
109;97.93626404;23.44788933;
110;96.63438416;23.4756031;
111;97.02893066;22.54298592;
112;93.12929535;20.21015739;
113;97.91607666;23.4445858;
114;97.29946899;24.11584473;
115;97.96551514;23.44710541;
116;97.91607666;23.44710541;
117;97.94354248;23.44912148;
118;97.94628906;23.44786263;
119;97.30221558;24.11615944;
120;97.16969299;22.96406746;
121;97.1607666;22.96501732;
122;97.30152893;24.11615944;
123;97.14222717;23.59354973;
124;97.29397583;24.11678505;
125;97.30015564;24.11615944;
126;97.96002197;23.44836426;
127;94.30500793;24.21138382;
128;97.30702209;24.11615944;
129;97.92431641;23.4445858;
130;97.68261719;23.83024788;
131;97.30168152;24.11684418;
132;97.38667297;20.92953682;
133;97.39353943;20.92307472;
134;97.30358887;24.11678505;
135;97.96551514;23.44710541;
136;97.94903564;23.4445858;
137;97.15390015;22.96444893;
138;97.86595154;23.55742645;
139;97.89959717;23.55037689;
140;97.92706299;23.4780941;
141;97.40032196;23.09576035;
142;97.902771;23.97867775;
143;97.89719391;23.97720337;
144;98.65216064;23.4229126;
145;97.01931763;22.54805946;
146;97.95452881;23.4445858;
147;97.01794434;22.56835175;
148;97.52468872;21.6022644;
149;97.30350494;24.11549377;
150;97.29946899;24.11615944;
151;97.96276855;23.44710541;
152;97.72553253;20.88984871;
153;97.0234375;22.56835175;
154;97.07836914;22.57595825;
155;97.68261719;23.82051086;
156;97.30152893;24.11615944;
157;97.07287598;22.5632782;
158;97.45739746;18.09362984;
159;97.07836914;22.56835175;
