,Catchment  Annual Rainfall (mm),"Total Powerplant Design Discharge (m3/s)
","Transmission Line Length (km)
","Transmission Line Voltage level (kV)
","Turbine Discharge/ Min Flow
","Transmission Line Connected to S/S
","Full Supply Level (FSL) (m)
",Powerhouse Type,Dam Type,"Reservoir Area (km2)
","Estimated No. Construction Workers (planned projects)
","Total Length of Reservoir (km)
","Reservoir Live Storage (hm3)
","Reservoir Dead Storage (hm3)
","Reservoir Retention Period (days)
",Run-of-River or Storage,Township,"Myanmar Selfuse (MW)
",% use MYA,Export (MW),Height (m),Qmin/ MAF,Crest Length (m),"Distance along river between dam and powerhouse (km)
",Plant Factor,Installed Capacity (MW),Financiers,"GIS Rainfall
","Max reservoir area (FSL) (km2)
","Unit Flow (l/s/km2)
",District,"Mean annual inflow (MAF) into reservoir (m3/s)
",Developers,"Sub-Basin (GIS Maps)
",Status (labelled by IFC),State/Region,Basin,Annual Runoff into Reservoir (hm3),"Catchment Area (km2)
","Sub-Basin (HP Chapter)
","Mean annual energy (GW)
",Total storage (FSL) (mil. m3),Notes,River,Function,Country,Location_L,Location_1,Status,Project Name,COD Year,Project ID,geometry,ST,TS,TS_PCODE
0,1330.0,,37.0,132,,Bamaw,250.0,Above ground,Concrete,0.4,,3.6,15.0,8.0,1.0,RoR,Bhamo,19.0,0.08,221.0,46,0.19,,4.3,0.51,240.0,Foreign JV/BOT,1686.0,0.32,53.1,Bhamo,319.0,China Datang,Dapein,Built,Kachin,Ayeyarwady,10060.0,6002.0,Dapein,240,22,Google Earth visible. See also https://cdm.unfccc.int/filestorage/t/m/XVMU7R9ONJBAP2ZGD8L3C4FYE5KHW0.pdf/PDD.pdf?t=Q2F8bzMzMW84fDAfiJMpRQsQs6aYwYImqFJ6,Dapein,HP,PRC,97.525448,24.421451,Complete,Dapein 1,2011,DAM0011,POINT (97.525448 24.421451),Kachin,Momauk,MMR001012
0,1330.0,380.0,16.0,230,5.9,Dapein1,179.0,Above ground,CG,,600.0,8.0,36.0,19.0,1.0,RoR,Moemauk,70.0,0.5,70.0,59,0.19,,0.0,0.52,140.0,Foreign JV/BOT,1686.0,,53.2,Bhamo,331.0,DUHD,Dapein,MOU,Kachin,Ayeyarwady,10438.0,6220.0,Dapein,140,55,,Dapein,HP,PRC,97.4214,24.36827,Proposed,Dapein 2,2022,DAM0012,POINT (97.42140000000001 24.36827),Kachin,Momauk,MMR001012
0,1300.0,840.0,20.0,132,6.6,Belin,81.0,In dam,RCC Gravity Dam,,200.0,21.0,,,0.0,ROR,Kyaukse,66.0,1.1,-6.0,27,0.21,620.0,0.0,0.64,60.0,Foreign JV/BOT,1596.0,43.38,17.1,Pyinoolwin,491.4,Andritz Hydro,Lower Myitnge,MOU,Mandalay,Ayeyarwady,15496.0,28695.0,Myitnge,60,13,Google Earth visible.,Lower Myitnge,HP,Austria,96.404455,21.68723,Proposed,Deedoke,2020,DAM0109,POINT (96.404455 21.68723),Mandalay,Pyinoolwin,MMR010008
0,2822.0,83.0,,,7.5,,405.0,Underground,CG,,500.0,5.0,30.0,4.0,9.0,S,Wyunmaw,130.0,1.0,0.0,81,0.29,,3.4,0.33,130.0,Foreign JV/BOT,,,58.2,Myitkyina,38.4,YBEP/Chan Yinn Khuu,Nmae Hka,MOU,Kachin,Ayeyarwady,1211.0,660.0,Ayeyarwady Headwaters,130,34,,N'Mai  Hka Tributary,HP,PRC/MYA,97.907021,25.511556,Proposed,Dum Ban,2020,DAM0014,POINT (97.907021 25.511556),Kachin,Waingmaw,MMR001002
0,3500.0,76.0,15.0,230,17.4,Hawkawn,1510.0,Above ground,CG,6.7,500.0,3.0,1.0,0.0,0.0,RoR,Chipwi,60.0,0.5,60.0,47,0.08,,11.0,0.56,120.0,Foreign JV/BOT,1540.0,,75.8,Myitkyina,56.1,YEIG/IGOEC,Naw Chang  Hka,JVA,Kachin,,1769.0,740.0,Ayeyarwady Headwaters,120,1,,Naw Chang  Hka,HP,PRC/MYA,98.580461,26.051936,Proposed,Gaw Lan,2026,DAM0015,POINT (98.580461 26.051936),Kachin,Chipwi,MMR001005
0,1100.0,360.0,,,5.9,,206.0,,,,700.0,29.0,,,,,,,0.0,,72,0.18,,0.0,0.48,180.0,Foreign JV/BOT,1446.0,,19.8,Bawlakhe,334.0,TEI/HCTC,Nam Pawn,MOU,Kayah,Thanlwin,10533.0,16884.0,Nam Pawn,180,333,,Nam Pawn,HP,SIN/MYA,97.399722,19.211667,Proposed,Hawkham (upper),2020,DAM0016,POINT (97.399722 19.211667),Kayah,Bawlake,MMR002005
0,,,,,,,,,,6.5,600.0,27.0,12.0,56.0,0.0,RoR,,69.0,0.5,69.0,,0.2,,0.0,0.4,138.0,Foreign JV/BOT,1381.0,,23.8,He Kou,359.0,YNIC,Nam Lwe,MOU,Shan,Mekong,11321.0,15103.0,Nam Lwe,138,68,,Nam Lwe,HP,PRC,100.720928,21.341291,Proposed,He Kou,2025,DAM0017,POINT (100.720928 21.341291),Shan (East),Mongyawng,MMR016011
0,3625.0,,15.0,230,,Tongxinqiao,,,,2.0,600.0,2.8,3.0,2.0,0.0,RoR,Tsawlaw,70.0,0.5,70.0,42,0.32,,0.0,0.63,140.0,Foreign JV/BOT,1540.0,,72.8,Myitkyina,96.5,YEIG/IGOEC,Naw Chang  Hka,MOA,Kachin,,3043.0,1326.0,Ayeyarwady Headwaters,140,5,,Naw Chang  Hka,HP,PRC/MYA,98.429523,26.023865,Proposed,Hkankawn,2026,DAM0112,POINT (98.429523 26.023865),Kachin,Chipwi,MMR001005
0,3000.0,1804.0,,,15.4,,665.0,Underground,CFRD,7.9,7100.0,31.0,229.0,306.0,2.0,RoR,Kanglanphu,,,,153,0.04,,0.0,0.73,2000.0,Foreign JV/BOT,2524.0,,103.7,Putau,1730.0,CPI,Nmae Hka,MOA,Kachin,Ayeyarwady,54557.0,16689.0,Ayeyarwady Headwaters,2000,535,,N'Mai  Hka,HP,PRC,98.34309,26.598389,Proposed,Pisa,2030,DAM0019,POINT (98.34309 26.598389),Kachin,Tsawlaw,MMR001006
0,2964.0,,,,,,,,,509.0,4600.0,,14610.0,6312.0,47.0,S,Htamanthi,,,,74,0.16,,0.0,0.64,1200.0,National Hydroelectric Power Corporation (India),,1396.0,108.8,Hkamti,3573.0,NHPC,Upper Chindwin,Suspended,Sagaing,Chindwin,112678.0,109.0,Chindwin,1200,20922,"An article dated Sept. 03, 2013 in the Shan Herald claims that India has cancelled the dam.",Chindwin,HP,India,95.296955,25.322227,Proposed,Tamanthi,,DAM0199,POINT (95.296955 25.322227),Sagaing,Homalin,MMR005034
